9,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1001651089,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,Your UTA ID must begin with 1000.,,,,,,,,,
10,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1000,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,Your UTA ID must be 10 digits in length.,,,,,,,,,
11,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,abc,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,Your UTA ID must be numeric,,,,,,,,,
12,texas,User,123,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,Your First Name must be non-numeric,,,,,,,,
13,texas,User,Pujaredij,P,1234567890,Pujaredij@gmail.com,1000165108,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,,Your Last Name must between 3 and 40 characters.,,,,,,,
14,texas,User,Pujaredij,Pujaredij,123,Pujaredij@gmail.com,1000165108,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,,,Phone number must be 10 digits in length,,,,,,
16,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,12345,arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,,,,,,City must start with a capital letter.,,,
17,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,12345,Arlington,100,Pujaredij,Pujaredij@123,Please correct the following errors,,,,,,,,Zip Code must be 5 digits in length,,
18,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,12345,Arlington,76013,Pujaredij,p@123,Please correct the following errors,,,,,,,,,,Your Password must between 3 and 40 characters.
19,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,12345,Arlington,76013,Pujaredij,PUJAREDIJ@123,Please correct the following errors,,,,,,,,,,Your Password must contain at least 1 uppercase letter 1 lowercase letter 1 number and 1 special character and should be 8-40 characters long.
22,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,12345,Arlington,76013,1234567,Pujaredij@123,Please correct the following errors,,,,,,,,,Your User Name must be non-numeric,
23,texas,User,pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,Your First Name must start with a capital letter.,,,,,,,,
24,texas,User,Pujaredij,1234567,1234567890,Pujaredij@gmail.com,1000165108,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,,Your Last Name must be non-numeric,,,,,,,
25,texas,User,Pujaredij,pujaredij,1234567890,Pujaredij@gmail.com,1000165108,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,,Your Last Name must start with a capital letter.,,,,,,,
27,texas,User,Pujaredij,Pujaredij,1234567890,P@g.c,1000165108,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,,,,Email address must be between 7 and 45 characters long,,,,,
28,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.co,1000165108,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,,,,Invalid domain name,,,,,
29,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,abcde,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,,,,,Your street address must be numeric,,,,
30,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,0,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,,,,,Your street address must between 3 and 40 characters.,,,,
31,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,12345,1234567,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,,,,,,City must be non-numeric,,,
32,texas,User,Pujaredij,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,12345,a,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,,,,,,City must between 3 and 40 characters.,,,
34,texas,User,a,Pujaredij,1234567890,Pujaredij@gmail.com,1000165108,12345,Arlington,76013,Pujaredij,Pujaredij@123,Please correct the following errors,,Your First Name must between 3 and 40 characters.,,,,,,,,
62,texas,User,Pujaredij,Pujaredij,1234567891,Pujaredij@gmail.com,1000165108,12345,Arlington,76014,Pujared,Pujaredij@124,Please correct the following errors,,,,,,,,,Your User Name must between 8 and 20 characters.,
